property_name,society,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating
2 BHK Flat in Madhyamgram,signum windmere,0.41,4363.0,Super Built up area 951(88.35 sq.m.),2.0,2,1,not available,"Madhyamgram, Kolkata North, Kolkata",11,South-East,0 to 1 Year Old,"['Birati metro station', 'Star Mall', 'Kalyani Expy', ""St.Mary's Public School"", 'JIS university', 'BC Roy Hospital', 'NSCB International Airport', 'New Barrackpore Railway Station']","This is your chance to own a 2 bhk residential apartment in signum windmere, madhyamgram, kolkata north, kolkata where luxury comes with affordability.
Basic details:
You will love this bright and spacious 2 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 1 balcony. The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good ventilation that invites comfort. 
Furnishings and amenities:
This impeccable house is spread across an area of 951sq. Ft. And is an unfurnished unit. 
The amenities are designed to make your life easy, exciting and luxurious. The society boasts of manicured landscaping and includes lifts, intercom facility, security/fire alarm, maintenance staff, security personnel, visitor parking, swimming pool, gym, clubhouse, rainwater harvesting, piped gas, water storage, waste disposal and park.
The property is a quality construction. 
Location:
The prime location provides residents with access to the very best that this city has to offer. The property is situated close to all the basic amenities. It is close to the main road making it highly accessible.
-Major banks and atms within proximity
-Schools within a close radius
-Easy access to public transportWait no more and schedule a tour today.
For more details, kindly contact the owner.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Lifestyle4.1 out of 5', 'Safety4 out of 5', 'Connectivity4.3 out of 5', 'Environment3.9 out of 5']"
3 BHK Flat in Howrah,joyville western heights,0.87,8885.0,Carpet area: 900 (83.61 sq.m.),3.0,2,3+,not available,"Howrah, Kolkata West, Kolkata",4,NA,0 to 1 Year Old,"['Bankra Market', 'Jaypee International Haat', 'Balitikuri Bazar', 'Tentulkuli, West Bengal', 'Podar International School', 'Baltikuri ESI Hospital', 'Bandhan Bank Salap Dsc', 'Fino Payment Bank Eksara', 'ICICI Bank Bankra', 'HDFC Bank, Domjur', 'Santragachi Bus Terminus', 'Santragachi Station', 'Baltikuri Junction Railway', 'India Post, Paikandashi', 'Lakeland Country Club']","Well connected to airport, highways , roads internal amenities facing open spaces",,"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Lifestyle4.1 out of 5', 'Safety4.1 out of 5', 'Connectivity4.3 out of 5', 'Environment3.6 out of 5']"
4 BHK Flat in kalighat,onex privy,3.25,15011.0,Super Built up area 2165(201.14 sq.m.),4.0,3,1,not available,"kalighat, Kolkata South, Kolkata",1,NA,1 to 5 Year Old,"['Jatin das park metro station', 'Kalighat metro station', 'Radha Krishna Mandir', 'Axis bank ATM', 'Dhanalakshimi bank ATM', 'State bank of india ATM', 'CGHS Dispensary Bhownipur-Kalighat', 'Chittaranjan National Cancer Institute Hospital', 'Paramount Nursing Home', 'Elite Nursing Home', 'Ashutosh Nursing Home', 'Chittaranjan Seva Sadan', 'Paramount Clinic', 'Probal Eye Institute', 'Palm Springs', 'Chittaranjan Shishu Hospital', 'Microlap Nursing Home', 'Rama Krishna Mission Seva Pratisthan', 'Dental Hospital', 'Calcutta Heart Research Center', 'Amulya Jyoti Eye Foundation', 'Centre Point Nursing Home', 'Smile And Profile Dental Treatment Centre Pvt Ltd', 'Anandalok Hospital', 'Southern Nursing Home', 'N.G. Nursing Home', 'Nemesis Eye Centre', 'B.N Basu Memorial Clinic Appolo Nursing Home', 'Kottakkal Ayurvedic Hospital and Research Centre', 'Himalaya Vision Care Centre', 'Get Well', 'Sri Ramakrishna Pharmacy', 'Bijoli Cinema Hall', 'Indira Cinema Hall', 'Bharati Cinema Hall', 'Purna Cinema', 'Cinepolis', 'Axis bank', 'Cafe coffee day', 'Ammini', 'Banana Leaf', 'Barbeque Nation', 'Cafe Coffee Day', ""Radu Babu's"", 'Bru Mugs', 'Shyama Prasad College', 'Jogomaya Devi College', 'Asutosh College', 'The New Horizon High School', 'Gita bhavan library']","Situated in kalighat, kolkata south, onex privy is a well planned society that offers a pleasant living experience to its residents. This 4 bhk flat in kolkata south is your opportunity to be a part of this community. The floor plan additionally contains 4 bedroom(s), 3 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 2165 sq.Ft. The flat has a total of 19 floors and this property is situated on 1st floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. Onex privy is designed very well to provide modern facilities such as swimming pool, cctv surveillance, club house / community center, fitness centre / gym, park, lift(s) and security personnel. You enjoy a 24*7 access to water in your flat.","['5 Fan', '12 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']","['Lifestyle3.8 out of 5', 'Safety3.7 out of 5', 'Connectivity4.2 out of 5', 'Environment3.4 out of 5']"
2 BHK Flat in Chetla,swastika co-operative housing society,0.7,5454.0,Built Up area: 1100 (102.19 sq.m.),2.0,2,2,not available,"Chetla, Kolkata South, Kolkata",2,South-East,1 to 5 Year Old,"['Kalighat metro station', 'Rabindra sarobar metro station', 'Shibaloy', 'Union bank of india ATM', 'Axis bank ATM', 'State bank of india ATM', 'Dhanalakshimi bank ATM', 'State bank of india ATM', 'B.P. Poddar Hospital', 'Orchid Skin Clinic', 'Shradha Health Care Pvt. Ltd', 'Ramakrishma Sarada Mission Matri Bhavan Hospital', 'Dental Hospital', 'N.G. Nursing Home', 'Arogya Maternity and Nursing Home', 'Siddhi Multi Speciality Ayurveda Hospital and Research Institute', 'Infirmary Orthopaedic Centre and Nursing Home', 'Ashutosh Nursing Home', 'Mohan Clinic', 'Probal Eye Institute', 'RSV Hospital', 'Hope Hospital', 'Palm Springs', 'Santosh Clinic', 'Smile And Profile Dental Treatment Centre Pvt Ltd', 'Shankarnath Dialysis Centre and Nursing Home', 'Medline Nursing Home', 'South Suburban Clinic', 'CGHS Dispensary Bhownipur-Kalighat', 'Get Well', 'Indian Oil Petrol Pump', 'Axis bank', 'Cinepolis', 'Ikura - Flavours of Pan Asia', 'Bru Mugs', 'Cafe HQ', 'Kookie jar', 'Cream & Fudge', 'Steak Factory', 'North & South', ""Radu Babu's"", 'Bombay Kulfi', ""Domino's Pizza"", 'Cafe Kathmandu', 'Cafe Coffee Day', 'Barbeque Nation', 'Banana Leaf', 'Cakes', 'New alipore railway station', 'Tollygunge railway station']","This lovely 2 bhk apartment/flat in chetla is available for sale in one of kolkata south's most popular projects, swastika co-Operative housing societ. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a built up area of 1100 sq.Ft. The flat has a total of 7 floors and this property is situated on 2nd floor. This is a ready to move project and the property is 1-5 years old.Another flat in the same building measuring of 1060 sq. Ft. Super-Built up in 2nd floor having east & north open with 2 bedrooms, one living room & one dining room with one balcony, two toilets and kitchen with one open terrace measuring 150 sq. Ft. Facing south-East. Inclusive of 1070 sq. Ft.
Expected price flat in chetlas in 2nd floor rs.60 lakhs","['1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Lifestyle3.7 out of 5', 'Safety3.7 out of 5', 'Connectivity4 out of 5', 'Environment3.5 out of 5']"
2 BHK Flat in Mukundapur,srijoyee,0.35,4052.0,Super Built up area 925(85.94 sq.m.),2.0,2,1,not available,"Mukundapur, Kolkata South, Kolkata",1,South,5 to 10 Year Old,"['Durga mandir', 'Shani mandir garia dhalua', 'Maa kali temple garia dhalua', 'Bikram mess kali mandir', 'Maa kali temple', 'Shoni thakur mandir', 'Maa Kali mandir', 'Hindu Temple', 'Lord Shiva Temple', 'Old Radha Krishna Temple', 'Sada Kali Mandir', 'Shitala Mandir', 'Kali Mandir', 'Hanuman Mandir', 'Hari Sava.Lord Krishna Temple', 'Bank of baroda ATM', 'Pnb ATM', 'Netaji Subhash Chandra Bose Cancer Reasearch Inst', 'Aditya Birla Sankara Nethralaya', 'Sunetra Eye and Family Care Centre', 'Peerless Hospital and B.K.Roy Research Center', 'Apex Institute Of Medical Sciences', 'A.H.IVF and Infertility Research Centre Ltd', 'Namita Biswas Memorial Eye Hospital', 'Red Plus Society Nursing Home', 'Red Cross Society Medical Strore', 'Santoshpur BBD BAG mini bus stopage', 'State bank of india jadavpur stadium branch', 'Hdfc bank', 'Trishna fast food', 'Neils Kitchen', 'Cafe Coffee Day', 'Sandwiches', 'Sammilani Mahavidyalaya', 'New garia railway station', 'Garia railway station', 'Bagha jatin railway station', 'Dhakuria public library']","We are the proud owners of this 2 bhk apartment available in srijoyee 9, mukundapur, kolkata south. This it is a and the unit is located on 1st floor and has a super built-Up area of 950 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.
 Additional details :Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",[],,"['Lifestyle4.1 out of 5', 'Safety4 out of 5', 'Connectivity4 out of 5', 'Environment3.9 out of 5']"
3 BHK Flat in Maheshtala,hiland greens,0.35,5239.0,Super Built up area 1060(98.48 sq.m.)Built Up area: 820 sq.ft. (76.18 sq.m.)Carpet area: 668 sq.ft. (62.06 sq.m.),3.0,2,1,not available,"1, Tomboy Road, Kolkata-140, Maheshtala, Kolkata South, Kolkata",13,South-East,1 to 5 Year Old,"['kali mandir', 'ESI Hospital', 'Sarangabad School', 'Nangi railway station', 'Budge budge railway station']","This is your chance to own a 3 bhk residential apartment in hiland greens, maheshtala, kolkata south, kolkata where luxury comes with affordability.
Basic details:
You will love this bright and spacious 3 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 1 balcony. The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good ventilation that invites comfort. 
Furnishings and amenities:
This impeccable house is spread across an area of 1060sq. Ft. And is an unfurnished unit. 
The amenities are designed to make your life easy, exciting and luxurious. The society boasts of manicured landscaping and includes lifts, intercom facility, security/fire alarm, maintenance staff, security personnel, visitor parking, swimming pool, gym, clubhouse, rainwater harvesting, piped gas, water storage, waste disposal and park.
The property is a quality construction. 
Location:
The prime location provides residents with access to the very best that this city has to offer. The property is situated close to all the basic amenities. It is close to the main road making it highly accessible.
-Major banks and atms within proximity
-Schools within a close radius
-Easy access to public transportWait no more and schedule a tour today.
For more details, kindly contact the owner.",,"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'No open drainage around', 'Park', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Club house / Community Center']","['Connectivity3.7 out of 5', 'Amenities4.2 out of 5', 'Construction4 out of 5', 'Green Area4.1 out of 5', 'Management3.7 out of 5']"
3 BHK Flat in Konnagar,maya enclave,0.39,4333.0,Carpet area: 900 (83.61 sq.m.),3.0,2,2,not available,"Indira Gandhi Road, Konnagar, Kolkata West, Kolkata",2,South,0 to 1 Year Old,"['Kanaipur Barowaritala Kali Mandir', 'Kanaipur Rural Hospital', 'Seva Nursing Home Hooghly', 'Patha Bhaban', 'Methodist School']","This 3 bhk apartment is available for sale in maya enclave indira gandhi sarani, one of the most prominent projects for flats in konnagar, kolkata west. This property faces the south direction. Containing 3 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a carpet area of 900 sq.Ft. This flat is situated on the 2nd floor of this 5 floors tall residential building. This is a ready to move project and the property is 0-1 year old. The flat comes well built with marble flooring options. All the modern amenities such as water softening plant, cctv surveillance and lift(s) will make life easier for you. The project provides access to clean water through municipal corporation supply.The property has following featuresOtis elevator in the building
Community hall
Rooftop garden
Fine dining restaurant in the same complex-Water treatment plant in the complex 
-Security video surveillance camera at the door
-Additional space for walking closet/prayer room 
- Provision of onsite gym cum club membership",,"['Lift(s)', 'Water softening plant']","['Lifestyle3.7 out of 5', 'Safety3.8 out of 5', 'Connectivity4.1 out of 5', 'Environment3.9 out of 5']"
3 BHK Flat in Rajarhat,aster gardens,0.5,4835.0,Super Built up area 1034(96.06 sq.m.),3.0,2,1,not available,"Rajarhat, Kolkata East, Kolkata",1,South-West,1 to 5 Year Old,"['Nathpara Shib Mandir', 'Nathpara Temple', 'Dakbunglow Shani Kali Mandir', 'Masjid', 'Rajarhat Shitala Kali Temple', 'Hanuman Mandir', 'Krishna Mandir', 'Badamtala Shib Mandir', 'Kali Mandir', 'Shreeramkhan Kali Bari Temple', 'Radha Krishna Mandir', 'Rajarhat Police Station Kali Temple', 'Rekjoani Shitala Mandir', 'Mukherjee Barir Durgadalan', 'Dharmaraj Temple', 'Kanjialpara Shani Mandir', 'Kali Mandir', 'Kali Temple', 'Manasha Mandir', 'Kali mandir', 'Geetanjali IT Park', 'Indian Oil', 'Stash Cafe', 'Amity University', 'Aliah University']","Located in the popular residential address of rajarhat, kolkata east, aster gardens is one of the most preferred destination for apartments in kolkata east. This 3 bhk flat is your ticket to be a part of this community. This property faces the west direction. Containing 3 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a super built up area of 1034 sq.Ft. This flat lies on the 1st level of a 4 storey building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The flat comes well built with marble flooring options. The society is well equipped with many modern amenities, including swimming pool, club house / community center, fitness centre / gym, park, lift(s), maintenance staff, security personnel and water softening plant. An uninterrupted supply of clean water provides a hassle-Free experience for the residents.
 Additional details :Full power backup is available.
The society has dedicated security guards for every tower.","['5 Fan', '1 Fridge', '1 Sofa', '1 Dining Table', '1 Stove', '9 Light', '1 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center', 'Water softening plant']","['Lifestyle4.2 out of 5', 'Safety4.1 out of 5', 'Connectivity4.2 out of 5', 'Environment4.1 out of 5']"
3 BHK Flat in Behala Chowrasta,madhavi manjuri,0.37,4302.0,Super Built up area 1085(100.8 sq.m.)Carpet area: 860 sq.ft. (79.9 sq.m.),3.0,2,1,not available,"Behala Chowrasta, Kolkata South, Kolkata",3,NA,0 to 1 Year Old,"['Behala Market', 'Santoshi Maa Mandir', 'Kali Temple', 'Jagannath Temple', 'Laxmi Narayan Mandir', 'Sitala Mandir', 'Hari Sabha', 'Dhali Para Masjid', 'Shibaloy', 'Sbi ATM', 'Axis bank ATM', 'James Long Clinic Pvt Limited', 'Apex Clinic Pvt Ltd', 'Vidyasagar State General Hospital', 'CGHS Dispensary Kudghat', 'Pratihar Nursing Home', 'Prima Orthopaedic Centre', 'Suburban Eye Microsurgery Centre', 'Love Bailey Nursing Home', 'Mohanananda Brahmachari Sishu Seva Pratisthan', ""Kolkata Women's Clinic"", 'Behala Balananda Brahmachari Hospital and Research Center', 'DM Hospitals Pvt. Ltd', 'Hope Hospital', 'Sree Krishna Nursing Home', 'South Suburban Clinic', 'Sakuntala Nursing Home', 'Vivekananda Hospital and Research Institute', 'Netaji Eye Hospital', 'Tapan Sinha Memorial Hospital', 'Sree Ramkrishna Pharmacy', 'Vivekananda pharmacy', 'Parnasree Bus Stand', 'Ashoka cinema hall', 'Sarat Sadan', 'Ajanta Cinema', 'Chowman', 'Panna Sweets', 'PANNA SWEETS', 'Haji Saheb', 'Swapan Tea Stall', 'Behla Blind School', 'National Gems Higher Secoundry School', 'Shaw Public Girls High School', 'Swami pranabananda school', 'Behala chowrasta metro railway station', 'Behala bazar metro railway station']","3bhk flat/apartment for sale in madhavi manjuri, silpara, kolkata south, kolkataWelcome to your dream home! We are delighted to present this exquisite unfurnished 3bhk residential apartment situated in madhavi manjuri, silpara, kolkata south, kolkata. This meticulously designed apartment offers a perfect blend of style, comfort, and convenience for modern living.Property features:
Size and layout: Sprawling across a carpet area of 1085 sqft, this 3bhk apartment provides ample space for a comfortable and spacious living experience.
 The thoughtfully planned layout encompasses a well-Defined living room, 3 cozy bedrooms, a contemporary kitchen, 2 well-Appointed bathrooms, and 1 balcony. The living room is designed to be the heart of the home, offering an inviting space for relaxation and entertainment.Additional amenities: Maintenance staff, water storage, park, visitor parking, security / fire alarm, feng shui / vaastu compliant, intercom facility, lift(s), water purifier, park, natural light, airy rooms, spacious interiors, waste disposal, rain water harvesting.Don't miss this opportunity to make this unfurnished 3bhk apartment your new home. Wait no more and schedule a tour today.
For more details, kindly contact the owner.",,['Feng Shui / Vaastu Compliant'],"['Lifestyle4.1 out of 5', 'Safety4.1 out of 5', 'Connectivity4.2 out of 5', 'Environment3.5 out of 5']"
3 BHK Flat in Krishnapur,gm meena ganga,0.63,5250.0,Carpet area: 1208 (112.23 sq.m.),3.0,2,1,not available,"Flat No A-5, Krishnapur, Kolkata East, Kolkata",5,South-East,5 to 10 Year Old,"['The Church of Jesus Christ of Latter-day Saints', 'Icici bank ATM', 'Hdfc bank ATM', 'Bank of baroda ATM', 'Allahabad bank ATM', 'Union bank of india ATM', 'State bank of india ATM', 'Axis bank ATM', 'Hdfc ATM', 'Sbi ATM', 'Revive Nursing Home', 'New Town Nursing Home And Diagnostic Co P Ltd', 'Swasti Nursing Home', 'New Life Nursing Home Kolkata', 'CGHS Dispensary Salt-Lake AF', 'B B Eye Foundation VIP ROAD', 'Spandan Hospital', 'Avenue Nursing Home', 'Anandalok Polyclinic', 'Renaissance Hospital', 'Tarulia Upashasthya Kendra', 'Charnock Hospital Pvt Ltd', 'Kolkata Nursing Home', 'Anandalok', 'Aditya Hospital', 'Anandalok Hospital Salt Lake City', 'bangur medical center', 'Composite Hospital', ""BF block Residents' Association"", 'Imagine Tech Park', 'P.S. Srijan Techpark', 'Saltee Techpark', 'Daga Service Station', 'Hdfc bank', 'PVR', 'O-Zone Restaurant cum Bar', 'KFC', ""Santa's Fantasea"", ""Mishra's"", 'KFC', ""McDonald's"", 'New Rajkumar Sweets', 'Calcutta Public School', 'Maulana Abul Kalam Azad University of Technology', 'West Bengal University of Technology', 'Little Friends school', 'Aliah University']","This is your chance to own a 3 bhk residential apartment in gm meena ganga, krishnapur, kolkata east, kolkata where luxury comes with affordability.
Basic details:
You will love this bright and spacious 3-Bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 1 balcony. The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good ventilation that invites comfort. 
Furnishings and amenities:
This impeccable house is spread across an area of 1208 sq. Ft. And is a furnished unit. There is plenty of room for the whole family to enjoy. The unit has spacious interiorsp and 24*7 water facility. Apart from this, you will love the convenience of your own covered/open parking slots.
The amenities are designed to make your life easy, exciting and luxurious. The society boasts of manicured landscaping and includes lifts, intercom facility, security/fire alarm, maintenance staff, security personnel, visitor parking, gym, clubhouse, water storage, waste disposal and park.
The property is a quality construction. 
Location:
The prime location provides residents with access to the very best that this city has to offer. The property is situated close to all the basic amenities. It is close to the main road making it highly accessible.
-Major banks and atms within proximity
-Schools within a close radius
-Easy access to public transportWait no more and schedule a tour today.
For more details, kindly contact the owner.
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Club house / Community Center']","['Lifestyle3.7 out of 5', 'Safety3.7 out of 5', 'Connectivity3.9 out of 5', 'Environment3.6 out of 5']"
3 BHK Flat in Chinsurah,sananda apartment,0.26,3363.0,Super Built up area 892(82.87 sq.m.)Built Up area: 716 sq.ft. (66.52 sq.m.)Carpet area: 680 sq.ft. (63.17 sq.m.),3.0,2,1,not available,"Chinsurah, Kolkata West, Kolkata",4,NA,1 to 5 Year Old,"['24hr ATM', 'Imambara District Hospital Hooghly', 'Chinsurah Medicare Nursing Home', 'R.M.Eye Foundation', 'Sunayan Eye Care and Surgery', 'Amala Nursing Home', 'Noor Eye Care', 'Chandannagore S D Hospital', 'Naihati Municipality Maternity Hospital', 'Green View Clinic And Nursing Home', 'Hooghly ghat railway station', 'Chuchura railway station', 'Kankinara railway station', 'Naihati junction railway station', 'Hooghly railway station']","We are the proud owners of this 3 bhk apartment available in sananda apartment, dankuni, kolkata west. This it is a and the unit is located on 4th floor and has a super built-Up area of 892 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","['1 Water Purifier', '7 Fan', '1 Geyser', '10 Light', '2 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '10 Curtains', '2 Wardrobe', 'No Bed', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Washing Machine']",['Lift(s)'],"['Lifestyle4.1 out of 5', 'Safety3.7 out of 5', 'Connectivity4.1 out of 5', 'Environment3.9 out of 5']"
4 BHK Flat in New Town,ps one 10,2.05,16413.0,Built Up area: 1758 (163.32 sq.m.)Carpet area: 1249 sq.ft. (116.04 sq.m.),4.0,4,3,servant room,"Tower 6, 12 B, New Town, Kolkata East, Kolkata",12,NA,Within 6 months,"['Nazrul Tirtha Metro Station', 'Galaxy Mall', 'The Newtown School', 'Aliah University', 'Ohio Hospital', 'Kolkata Airport', 'Ghum Railway Station']","Looking to sell my 4 bhk + servant apartment located tower 6, 12 th floor of one 10.The unit have 3 balcony and provide unobstructed view of vast cityscape & waterbody. 100% power back purchased with additional cost, cover car park, vrv ac system in each room, servant quarters are included in the flat.The project is equipped with some of best amenities, including multiple sport courts.95% payment done including payment for 100% power backup at extra cost, 100% of extra development cost.The property is not under any bank loan.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Centrally Air Conditioned', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","['Lifestyle4.4 out of 5', 'Safety4.2 out of 5', 'Connectivity4.3 out of 5', 'Environment4.2 out of 5']"
3 BHK Flat in Kamalgazi,green park,0.35,3043.0,Carpet area: 1150 (106.84 sq.m.),3.0,2,1,not available,"Kamalgazi, Kolkata South, Kolkata",3,North-East,5 to 10 Year Old,"['Sitala mandir', 'Bikram mess kali mandir', 'Maa kali temple garia dhalua', 'Shani mandir garia dhalua', 'Kali temple', 'Hindustan Health Point Pvt Ltd', 'Remedy Hospital Unit Of Remedy Medical Services Pvt Ltd', 'Namita Biswas Memorial Eye Hospital', 'Yubatirtha club', 'Petrol pump', 'Sarada Vidyapith', 'Biswabani School', 'Narendrapur railway station', 'Garia railway station']","We are the proud owners of this 3 bhk apartment available in green land park, garia, kolkata south. This furnished apartment it is a and the unit is located on 1st floor and has a carpet area of 1150 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.
 Additional details :Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['1 Fan', '1 Fridge', '1 Geyser', '1 Stove', '1 Light', '1 Chimney', '1 Curtains', '1 Wardrobe', '1 Sofa', '1 Microwave', 'No AC', 'No Bed', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No TV', 'No Washing Machine', 'No Water Purifier']",,
3 BHK Flat in Rajpur Sonarpur,sucasa twins,0.41,3489.0,Super Built up area 1175(109.16 sq.m.),3.0,2,1,not available,"Address: 181, Dr. B.C Roy Road, Dakshin Jagaddal, Rajpur Sonarpur Area, Pin: 700151, Rajpur Sonarpur, Kolkata South, Kolkata",5,NA,1 to 5 Year Old,"['Kavi subhash metro station', 'Shahid khudiram metro station', 'Bikram mess kali mandir', 'Maa kali temple garia dhalua', 'Shani mandir garia dhalua', 'Durga mandir', 'Kali temple', 'Sitala mandir', 'Sbi ATM', 'Icici bank ATM', 'Namita Biswas Memorial Eye Hospital', 'Remedy Hospital Unit Of Remedy Medical Services Pvt Ltd', 'Netaji Subhash Chandra Bose Cancer Reasearch Inst', 'Hindustan Health Point Pvt Ltd', 'Peerless Hospital and B.K.Roy Research Center', 'Yubatirtha club', 'Santoshpur BBD BAG mini bus stopage', 'Petrol pump', 'Cafe Coffee Day', 'Neils Kitchen', 'Machhranga Airconditioned Multi Cuisine', 'Biswabani School', 'Sarada Vidyapith', 'Garia railway station', 'Narendrapur railway station', 'New garia railway station']","We are the proud owners of this 3 bhk apartment available in su casa 1, garia, kolkata south. This it is a and the unit is located on 5th floor and has a super built-Up area of 1175 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.",[],,
2 BHK Flat in Kumrakhali,pramila niwas apartment,0.28,3608.0,Super Built up area 776(72.09 sq.m.),2.0,2,1,not available,"216 Green Park, Kumrakhali, Kolkata South, Kolkata",3,South-East,5 to 10 Year Old,,"We are the proud owners of this 2 bhk apartment available in pramila niwas apartment, garia, kolkata south. This semi-Furnished apartment it is a and the unit is located on 3rd floor and has a super built-Up area of 776 sq.Ft. . It has 2 bed room, one kitchen with dyning hall,2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","['1 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage']",
