society,price,place,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features,Direction
forum footprints,10.02,ballygunge,34104.0,Carpet area: 2938 (272.95 sq.m.),4.0,4,2,not available,3,,0 to 1 Year Old,"['Ice Skating Rink', 'Jyotirmoyee Radha Krishna Mandir', 'Sbi ATM', 'Quadra Medical Services Pvt Ltd', 'Duncan Gleneagles Hospitals', 'Micro Surgery Day Centre', 'Repose Clinic and Research Centre Pvt. Ltd.', 'Deshari Complete Eye Care', 'All Asia Medical Institute', 'Dr Nihar Munshi Eye Foundation', ""Implant's Better Sight Centre Pvt Ltd"", 'Health Point Hospitals', 'Implant House Laser and Diagnostic Centre', 'CGHS Dispensary Dover Lane', 'Farsight Eye Research Centre', 'Mediview Nursing Home Pvt Ltd', 'South Calcutta Clinic', 'Prince Nursing Home Kolkata', 'Disha Eye Hospital', 'Ballygunge Drugs Centre', 'Frank Ross', 'Frank Ross Pharmacy', 'Bright Street', 'London paris cinema', 'Inox quest cinema', ""Haldiram's"", 'Teekha', 'Dhaba', 'Momo on The Move', 'Kasturi', 'Bohemian', 'Coffeeshop', '6 Ballygunge Place', 'Bojangles', 'Tasty Corner', 'Mirch Masala', 'Automobile association of eastern India', 'Dominos', 'KFC', 'Pizza Hut', 'The Irish House', 'Dawntown Cafe', 'Jai Hind Dhaba', 'My Big Fat Belly', 'Bhojohori Manna 6', 'The South Indian', 'Roll Shop', 'Patha Bhavan Higher Secondary School', 'Patha Bhavan High School']",,"['Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Club house / Community Center']",South
rishi enclave apartment,0.36,rajarhat,3735.0,Super Built up area 977(90.77 sq.m.),2.0,2,2,not available,6,South-East,10+ Year Old,"['Kali mandir', 'Manasha Mandir', 'Kali Mandir', 'Kanjialpara Shani Mandir', 'Dharmaraj Temple', 'Mukherjee Barir Durgadalan', 'Kali Temple', 'Rekjoani Shitala Mandir', 'Rajarhat Police Station Kali Temple', 'Radha Krishna Mandir', 'Shreeramkhan Kali Bari Temple', 'Kali Mandir', 'Badamtala Shib Mandir', 'Krishna Mandir', 'Hanuman Mandir', 'Masjid', 'Rajarhat Shitala Kali Temple', 'Dakbunglow Shani Kali Mandir', 'Bhattacharya Orthopaedics and Related Research Centre Pvt Ltd', 'Netram Eye Hospital', 'Geetanjali IT Park', 'Airport Bus Stand lines VS1', 'Birati Minibus', 'Indian Oil', 'KATHI JUNCTION', 'Stash Cafe', 'KFC', ""McDonald's""]","['1 Bed', '1 Wardrobe', '2 Fan', '3 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Bank Attached Property', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Club house / Community Center']",East
lake view apartment,0.6,mahamayatala,4379.0,Super Built up area 1370(127.28 sq.m.),3.0,2,1,not available,1,South-East,5 to 10 Year Old,"['Kavi nazrul metro station', 'Shahid khudiram metro station', 'Sitala mandir', 'Gosto Mandir', 'Brahmapur Badamtala Jame Masjid', 'Maa kali temple garia dhalua', 'Shani mandir garia dhalua', 'Bikram mess kali mandir', 'Sree Guru Sangha Main Gate', 'Durga mandir', 'Icici bank ATM', 'Sbi ATM', 'Hindustan Health Point Pvt Ltd', 'Remedy Hospital Unit Of Remedy Medical Services Pvt Ltd', 'Garia Eye Clinic and Micro Surgery Centre', 'Sevangan Medical Complex', 'Namita Biswas Memorial Eye Hospital', 'BRWS Hospital', 'Yubatirtha club', 'Petrol pump', 'Hdfc bank brahmapur branch', 'Axis bank', 'Axis bank', 'Bank of baroda', 'State bank of india brahmapur branch', 'Machhranga Airconditioned Multi Cuisine', 'Cafe Coffee Day', 'Neils Kitchen', 'Garia railway station', 'New garia railway station']","['5 Fan', '1 Geyser', '13 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'Natural Light']",South
sugam serenity,0.4,sonarpur,4285.0,Super Built up area 980(91.04 sq.m.),2.0,2,1,not available,1,,1 to 5 Year Old,"['Kali temple', 'Kalpana Maternity and Nursing Home South 24 Parganas', 'Satyarani Memorial Nursing Home And Diagnostic Centre', 'Sushila Clinic South 24 Parganas', 'Government Hospital', 'Sonarpur Coffee House', 'Sarada Vidyapith', 'Biswabani School', 'Sonarpur junction railway station', 'Narendrapur railway station']",[],"['Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting', 'Water softening plant']",South
hiland calcutta riverside,0.2,maheshtala,4474.0,Super Built up area 712(66.15 sq.m.)Carpet area: 447 sq.ft. (41.53 sq.m.),2.0,2,1,not available,3,South-West,1 to 5 Year Old,"['kali mandir', 'Dasbarir Manasatala', 'Shiv mandir', 'Loknath Mandir', 'tara Maa Mandir', 'Akra railway station', 'Nangi railway station', 'Santoshpur railway station']",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Natural Light', 'Fitness Centre / GYM', 'Club house / Community Center']",South
aakansha apartment,0.45,tollygunge,5056.0,Carpet area: 890 (82.68 sq.m.),3.0,1,1,not available,1,,5 to 10 Year Old,"['Mahanayak uttam kumar metro station', 'Rabindra sarobar metro station', 'Shibaloy', 'Lake Kalibari', 'State bank of india ATM', 'Swiss Park Nursing Home', 'Medline Nursing Home', 'Shankarnath Dialysis Centre and Nursing Home', 'RSV Hospital', 'Santosh Clinic', 'Siddhi Multi Speciality Ayurveda Hospital and Research Institute', 'Calcutta Lions Netra Niketan', 'hospoital', 'Mohan Clinic', 'SilverLine Eye Hospital', 'Arogya Maternity and Nursing Home', 'Cure Centre Nursing Home', 'Amri Medical Centre', 'Infirmary Orthopaedic Centre and Nursing Home', 'Sri Aurobindo Seva Kendra EEDF', 'Chandi tala health center', 'Shradha Health Care Pvt. Ltd', 'Jodhpur Park Nursing and Maternity Home Pvt Ltd', 'N.G. Nursing Home', 'Ramakrishma Sarada Mission Matri Bhavan Hospital', 'Tapan Sinha Memorial Hospital', 'Orchid Skin Clinic', 'KD Cure S.C. Das Memorial Medical Center', 'Kottakkal Ayurvedic Hospital and Research Centre', 'CGHS Dispensary Lake Area', 'INOX South City', 'Indian bank', 'Crossroad Cafe', 'Burgers', 'FORKSTRUCK', 'Cafe HQ', 'The Lighthouse Cafe', 'Steak Factory', 'Cakes', 'Cafe Kathmandu', 'Bombay Kulfi', 'North & South', 'Bru Mugs', 'South City International School', 'Birla Academy of Fine Arts', 'ITI', 'ITI TOLLYGUNGE', 'Swami pranabananda school', 'Tollygunge railway station', 'Lake gardens railway station']",,"['Lift(s)', 'Water Storage']",South
mani vista,2.72,tollygunge,21570.0,Super Built up area 1925(178.84 sq.m.)Built Up area: 1432 sq.ft. (133.04 sq.m.)Carpet area: 1261 sq.ft. (117.15 sq.m.),3.0,3,1,servant room,28,,Within 6 months,"['Mahanayak Uttam Kumar', 'Netaji', 'Spencers', 'Big Mart Retail Store', 'New Alipore Bridge', ""Andrew's High School"", 'M R Bangur Hospital', 'RSV Hospital', 'State Bank of India', 'Bikramgarh Harisabha Ground', 'Mother Earth Theme Park', 'Royal Calcutta Golf Club', 'The Tollygunge Club', 'Pizza Hut', 'Rabindra Sarovar Lake']",,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM']",South
sahanagar chs,0.38,kalighat,7916.0,Super Built up area 600(55.74 sq.m.)Carpet area: 480 sq.ft. (44.59 sq.m.),2.0,2,2,not available,1,South-East,Mar 2024,"['Kalighat metro station', 'Jatin das park metro station', 'Radha Krishna Mandir', 'Dhanalakshimi bank ATM', 'State bank of india ATM', 'Axis bank ATM', 'Probal Eye Institute', 'Ashutosh Nursing Home', 'Palm Springs', 'CGHS Dispensary Bhownipur-Kalighat', 'Dental Hospital', 'Elite Nursing Home', 'Microlap Nursing Home', 'Paramount Nursing Home', 'Smile And Profile Dental Treatment Centre Pvt Ltd', 'Chittaranjan National Cancer Institute Hospital', 'Paramount Clinic', 'Amulya Jyoti Eye Foundation', 'Chittaranjan Seva Sadan', 'N.G. Nursing Home', 'Rama Krishna Mission Seva Pratisthan', 'Chittaranjan Shishu Hospital', 'Calcutta Heart Research Center', 'Infirmary Orthopaedic Centre and Nursing Home', 'B.N Basu Memorial Clinic Appolo Nursing Home', 'Ramakrishma Sarada Mission Matri Bhavan Hospital', 'Kottakkal Ayurvedic Hospital and Research Centre', 'Nemesis Eye Centre', 'Southern Nursing Home', 'Himalaya Vision Care Centre', 'Get Well', 'Axis bank', 'Cinepolis', 'Bijoli Cinema Hall', 'Indira Cinema Hall', 'Bharati Cinema Hall', 'Banana Leaf', ""Radu Babu's"", 'Barbeque Nation', 'Cafe Coffee Day', 'Ammini', 'Bru Mugs', 'Cafe coffee day', 'North & South', 'Bombay Kulfi', 'Shyama Prasad College', 'Jogomaya Devi College', 'Asutosh College', 'The New Horizon High School', 'Gita bhavan library']",,['Water Storage'],South
avani victoria greens,0.5,garia,5428.0,Built Up area: 921 (85.56 sq.m.),2.0,2,0,not available,0,,10+ Year Old,"['Kavi nazrul metro station', 'Shahid khudiram metro station', 'Sitala mandir', 'Gosto Mandir', 'Brahmapur Badamtala Jame Masjid', 'Sree Guru Sangha Main Gate', 'Sri Sri 108 Doyal Baba Asram', 'Sitala Temple', 'Maa kali temple garia dhalua', 'Shani mandir garia dhalua', 'Bikram mess kali mandir', 'Icici bank ATM', 'Sbi ATM', 'Hindustan Health Point Pvt Ltd', 'Remedy Hospital Unit Of Remedy Medical Services Pvt Ltd', 'Garia Eye Clinic and Micro Surgery Centre', 'Sevangan Medical Complex', 'BRWS Hospital', 'Namita Biswas Memorial Eye Hospital', 'IRIS HOSPITAL', 'Kumar Surgical and Laparoscopic Clinic', 'Dakshinee Eye Foundation', 'Peerless Hospital and B.K.Roy Research Center', 'Red Plus Society Nursing Home', 'Udayan Nursing Home', 'Baghajatin State General Hospital', 'Yubatirtha club', 'Red Cross Society Medical Strore', 'Petrol pump', 'Hdfc bank brahmapur branch', 'Axis bank', 'Axis bank', 'Bank of baroda', 'State bank of india brahmapur branch', 'State bank of india bansdroni', 'Machhranga Airconditioned Multi Cuisine', 'Cafe Coffee Day', 'Neils Kitchen', 'Sandwiches', 'Sammilani Mahavidyalaya', 'New garia railway station', 'Garia railway station', 'Bagha jatin railway station']",,"['Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Club house / Community Center']",South
cc2 realtech nirman,0.65,rajarhat,5098.0,Carpet area: 1275 (118.45 sq.m.),3.0,2,2,not available,4,South-East,5 to 10 Year Old,"['Central park metro station', 'Karunamoyee metro station', 'The Church of Jesus Christ of Latter-day Saints', 'Icici bank ATM', 'Allahabad bank ATM', 'Hdfc bank ATM', 'Bank of baroda ATM', 'Hdfc ATM', 'Sbi ATM', 'Union bank of india ATM', 'State bank of india ATM', 'Axis bank ATM', 'State bank of india ATM', 'Revive Nursing Home', 'CGHS Dispensary Salt-Lake AF', 'Anandalok Polyclinic', 'New Town Nursing Home And Diagnostic Co P Ltd', 'Swasti Nursing Home', 'New Life Nursing Home Kolkata', 'B B Eye Foundation VIP ROAD', 'Avenue Nursing Home', 'Spandan Hospital', 'Anandalok', 'Anandalok Hospital Salt Lake City', 'Suraksha Diagnostic', 'Udichi ENT and Head Neck Center', 'Salt Lake City Medical Centre', 'Bidhannagar State General Hospital', 'Seba Hospital', 'Aditya Hospital', 'Tarulia Upashasthya Kendra', ""BF block Residents' Association"", 'P.S. Srijan Techpark', 'Imagine Tech Park', 'Saltee Techpark', 'Daga Service Station', 'Hdfc bank', 'PVR', ""Santa's Fantasea"", ""Mishra's"", 'O-Zone Restaurant cum Bar', 'KFC', 'Oudh 1590', 'Aqua Java Air', 'KFC', 'Calcutta Public School', 'Maulana Abul Kalam Azad University of Technology', 'West Bengal University of Technology', 'Aliah University', 'Little Friends school']","['1 Water Purifier', '5 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '1 Stove', '10 Light', '1 AC', '1 Chimney', '1 Curtains', '2 Bed', '3 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No Modular Kitchen', 'No TV']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center', 'Water softening plant']",East
primarc southwinds,0.72,em bypass,6521.0,Super Built up area 1150(106.84 sq.m.),3.0,2,1,not available,1,,0 to 1 Year Old,,,,South
